id,hour,aerial,terrain,man,district,concelho,familiaName,natureza,especieName,status,total_meios
2021130091830,03:54,0,1,2,Porto,Maia,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021150050334,04:45,0,1,2,SetÚbal,Moita,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021030044837,04:57,0,1,2,Braga,Cabeceiras De Basto,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021080024570,05:09,0,1,5,Faro,PortimÃo,Operações  e Estados de Alerta,Pré-posicionamento de Meios,Operações,Em Curso,
2021060025553,05:15,0,1,6,Coimbra,Coimbra,Riscos Mistos,Detritos confinados,Incêndios em Detritos,Despacho de 1º Alerta,
2021030044839,05:26,0,2,4,Braga,Esposende,Protecção e Assistência a Pessoas e Bens,Agressão/Violação,Intervenção em conflitos legais,Chegada ao TO,
2021040016314,05:42,0,1,2,BraganÇa,Vila Flor,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021030044842,05:46,0,1,2,Braga,Vila Verde,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021160015596,05:49,0,0,0,Viana Do Castelo,Ponte De Lima,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Em Curso,
2021110114561,06:08,0,1,2,Lisboa,Oeiras,Protecção e Assistência a Pessoas e Bens,"Patrulhamento, Reconhecimento e Vigilância",Assistência e Prevenção a actividades humanas,Despacho de 1º Alerta,
2021020013915,06:10,0,1,2,Beja,Odemira,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021130091842,06:15,0,0,0,Porto,Marco De Canaveses,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Chegada ao TO,
2021060025555,06:21,0,1,2,Coimbra,Coimbra,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021130091844,06:43,0,1,2,Porto,Gondomar,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021090021436,06:45,0,1,2,Guarda,Seia,Operações  e Estados de Alerta,Pré-posicionamento de Meios,Operações,Em Curso,
2021060025559,06:50,0,1,2,Coimbra,Oliveira Do Hospital,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Despacho de 1º Alerta,
2021010047428,06:53,0,1,0,Aveiro,Santa Maria Da Feira,Protecção e Assistência a Pessoas e Bens,Trauma,Assistência em Saúde,Em Curso,
